PR番号,タイトル,作成者,作成日,ステータス,政策分野（新ラベル）,旧ラベル,分類理由,分析メモ,URL,説明（200文字まで）
5539,匿名ユーザーによる政策改善提案：選挙、司法、年金運用など,app/idobata-policy-app,2025-07-11T15:19:20Z,OPEN,ビジョン,README,政治理念・基本方針に関する提案,直接分析: 2025-07-14,https://github.com/team-mirai/policy/pull/5539,匿名ユーザーによる政策改善提案：選挙、司法、年金運用など
5538,README.md：議論のハイライトを追加し、デジタル母子手帳の災害時対策に関する議論を反映,app/idobata-policy-app,2025-07-11T15:13:47Z,OPEN,ビジョン,README,政治理念・基本方針に関する提案,直接分析: 2025-07-14,https://github.com/team-mirai/policy/pull/5538,README.md：議論のハイライトを追加し、デジタル母子手帳の災害時対策に関する議論を反映
5537,feat: 匿名ユーザーによるシェルター整備政策の提案を追加,app/idobata-policy-app,2025-07-11T15:03:49Z,OPEN,ビジョン,README,政治理念・基本方針に関する提案,直接分析: 2025-07-14,https://github.com/team-mirai/policy/pull/5537,feat: 匿名ユーザーによるシェルター整備政策の提案を追加
5534,「社会的養護の改革」に関する包括的な改善提案,app/idobata-policy-app,2025-07-11T14:52:55Z,OPEN,[システム],README,マニフェストの構造改善（「社会的養護の改革」に関する包括的な改善提案）,直接分析: 2025-07-14,https://github.com/team-mirai/policy/pull/5534,「社会的養護の改革」に関する包括的な改善提案
5531,「産業」政策における多様な業種への配慮の必要性について,app/idobata-policy-app,2025-07-11T14:44:34Z,OPEN,ビジョン,README,政治理念・基本方針に関する提案,直接分析: 2025-07-14,https://github.com/team-mirai/policy/pull/5531,「産業」政策における多様な業種への配慮の必要性について
5528,ひろこさん提案：「AIコンシェルジュ」と「心のセーフティネット」の創設,app/idobata-policy-app,2025-07-11T14:40:19Z,OPEN,ビジョン,README,政治理念・基本方針に関する提案,直接分析: 2025-07-14,https://github.com/team-mirai/policy/pull/5528,ひろこさん提案：「AIコンシェルジュ」と「心のセーフティネット」の創設
5520,AI活用による財源確保と、世代を超えた安心保障の実現,app/idobata-policy-app,2025-07-11T14:09:13Z,OPEN,子育て,README,子育て支援・少子化対策,直接分析: 2025-07-14,https://github.com/team-mirai/policy/pull/5520,AI活用による財源確保と、世代を超えた安心保障の実現
5516,【AIのミスにより撤回】ジェンダー問題に関する基本方針の追加,app/idobata-policy-app,2025-07-11T14:03:51Z,OPEN,ビジョン,README,政治理念・基本方針に関する提案,直接分析: 2025-07-14,https://github.com/team-mirai/policy/pull/5516,【AIのミスにより撤回】ジェンダー問題に関する基本方針の追加
5515,家族の一体感を守りつつ、旧姓使用の不便を解消する提案,app/idobata-policy-app,2025-07-11T14:00:31Z,OPEN,ビジョン,README,政治理念・基本方針に関する提案,直接分析: 2025-07-14,https://github.com/team-mirai/policy/pull/5515,家族の一体感を守りつつ、旧姓使用の不便を解消する提案
5513,マニフェストの改善：キャッチコピー追加と表現の現代化,app/idobata-policy-app,2025-07-11T13:53:51Z,OPEN,ビジョン,README,政治理念・基本方針に関する提案,直接分析: 2025-07-14,https://github.com/team-mirai/policy/pull/5513,マニフェストの改善：キャッチコピー追加と表現の現代化
5512,政策提案：国立病院の財政基盤の安定化,app/idobata-policy-app,2025-07-11T13:52:31Z,OPEN,ビジョン,README,政治理念・基本方針に関する提案,直接分析: 2025-07-14,https://github.com/team-mirai/policy/pull/5512,政策提案：国立病院の財政基盤の安定化
5505,義務教育における新しい体育の導入,app/idobata-policy-app,2025-07-11T13:38:02Z,OPEN,[システム],README,マニフェストの構造改善（義務教育における新しい体育の導入）,直接分析: 2025-07-14,https://github.com/team-mirai/policy/pull/5505,義務教育における新しい体育の導入
