PR番号,タイトル,作成者,作成日,ステータス,政策分野（新ラベル）,旧ラベル,分類理由,分析メモ,URL,説明（200文字まで）
6154,観光政策の新規提案：オーバーツーリズム対策と持続可能な観光モデルの構築,app/idobata-policy-app,2025-07-13T12:27:57Z,OPEN,産業政策,README,観光産業の政策。オーバーツーリズム対策と持続可能な観光モデル構築,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/6154,観光政策の新規提案：オーバーツーリズム対策と持続可能な観光モデルの構築
6152,よんさまからのご提案：AI活用の原則強化とデジタル民主主義の具体化について,app/idobata-policy-app,2025-07-13T12:21:58Z,OPEN,デジタル民主主義,README,AI活用の原則強化と有権者の政策比較支援システム,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/6152,よんさまからのご提案：AI活用の原則強化とデジタル民主主義の具体化について
6150,淳様ご提案：AI活用における人間の責任と専門性維持の原則を追記,app/idobata-policy-app,2025-07-13T12:20:52Z,OPEN,科学技術,README,AI活用における人間の責任と専門性維持の原則,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/6150,淳様ご提案：AI活用における人間の責任と専門性維持の原則を追記
6148,（豊田様ご提案）養育費の不払い問題に関する政策を追加,app/idobata-policy-app,2025-07-13T12:11:36Z,OPEN,子育て,README,養育費不払い問題の解決による子どもの貧困対策,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/6148,（豊田様ご提案）養育費の不払い問題に関する政策を追加
6146,「政治改革」に関する改善提案,app/idobata-policy-app,2025-07-13T12:08:33Z,OPEN,行政改革,README,政治改革（議員定年制・報酬適正化・世襲制限）,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/6146,「政治改革」に関する改善提案
6142,政策の柱として「多様な家族のあり方を支える法整備」を新たに追加,app/idobata-policy-app,2025-07-13T11:54:47Z,OPEN,ビジョン,README,多様な家族のあり方（選択的夫婦別姓・同性婚）の基本方針,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/6142,政策の柱として「多様な家族のあり方を支える法整備」を新たに追加
6139,ふくとさんによる「持続可能な都市政策」の改善提案,app/idobata-policy-app,2025-07-13T11:48:01Z,OPEN,その他政策,README,持続可能な都市政策（コンパクトシティ・都市計画）,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/6139,ふくとさんによる「持続可能な都市政策」の改善提案
6135,2拠点生活など新しいライフスタイルを支援するアイデアを追記,app/idobata-policy-app,2025-07-13T11:42:27Z,OPEN,その他政策,README,2拠点生活など新しいライフスタイル支援（地方創生）,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/6135,2拠点生活など新しいライフスタイルを支援するアイデアを追記
6128,【匿名ユーザーさんによる改善提案】個人の納税実績を活用した信用創造の提案,app/idobata-policy-app,2025-07-13T10:59:55Z,OPEN,経済財政,README,納税実績を活用した信用創造システム（金融政策）,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/6128,【匿名ユーザーさんによる改善提案】個人の納税実績を活用した信用創造の提案
6124,ネット上の私的制裁の根絶と人権保障のための提言,app/idobata-policy-app,2025-07-13T10:48:19Z,OPEN,その他政策,README,ネット上の私的制裁対策と人権保障（司法・人権）,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/6124,ネット上の私的制裁の根絶と人権保障のための提言
6114,【けいさん提案】性加害の厳罰化を柱とした、被害者を守るための包括的政策,app/idobata-policy-app,2025-07-13T09:59:58Z,OPEN,その他政策,README,性加害の厳罰化（司法・刑事政策）,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/6114,【けいさん提案】性加害の厳罰化を柱とした、被害者を守るための包括的政策
6110,安楽死に関する政策の追加提案,app/idobata-policy-app,2025-07-13T09:53:05Z,OPEN,医療,README,安楽死に関する政策（終末期医療・生命倫理）,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/6110,安楽死に関する政策の追加提案
6108,わたなべさんご提案：消費税一本化と経済のDXによる物価安定,app/idobata-policy-app,2025-07-13T09:47:48Z,OPEN,経済財政,README,消費税一本化と経済のDXによる物価安定,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/6108,わたなべさんご提案：消費税一本化と経済のDXによる物価安定
6107,ゆうかさんより：教育を通じた日本文化への理解とアイデンティティ確立の提案,app/idobata-policy-app,2025-07-13T09:47:39Z,OPEN,教育,README,日本文化への理解とアイデンティティ確立の教育,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/6107,ゆうかさんより：教育を通じた日本文化への理解とアイデンティティ確立の提案
6105,【既卒の民さん提案】既卒者など多様な経歴を持つ人への就職支援を追加,app/idobata-policy-app,2025-07-13T09:45:09Z,OPEN,産業政策,README,既卒者など多様な経歴を持つ人への就職支援,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/6105,【既卒の民さん提案】既卒者など多様な経歴を持つ人への就職支援を追加
6095,「（仮称）エンペラー・ワラント・マーク制度」の創設による日本のブランド価値向上,app/idobata-policy-app,2025-07-13T09:19:04Z,OPEN,産業政策,README,エンペラー・ワラント・マーク制度によるブランド価値向上,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/6095,「（仮称）エンペラー・ワラント・マーク制度」の創設による日本のブランド価値向上
6092,マニフェストへの平和主義の原則の追記,app/idobata-policy-app,2025-07-13T09:03:05Z,OPEN,ビジョン,README,平和主義の原則の明記,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/6092,マニフェストへの平和主義の原則の追記
6091,マニフェスト序文を改善し、「100日プラン」の位置づけを明確化,app/idobata-policy-app,2025-07-13T09:01:01Z,OPEN,['システム'],README,マニフェスト序文の改善と100日プランの位置づけ明確化,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/6091,マニフェスト序文を改善し、「100日プラン」の位置づけを明確化
6071,「人権についての基本的な考え方」の新規追加,app/idobata-policy-app,2025-07-13T07:51:47Z,OPEN,ビジョン,README,人権についての基本的な考え方の追加,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/6071,「人権についての基本的な考え方」の新規追加
6063,未成年者への性犯罪対策強化をマニフェストに明記,app/idobata-policy-app,2025-07-13T07:23:28Z,OPEN,その他政策,README,未成年者への性犯罪対策強化（司法・治安）,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/6063,未成年者への性犯罪対策強化をマニフェストに明記
6054,【コンセプト提案】サイト利用ガイドの新設と、「ステップ」定義に関する見解の確認,app/idobata-policy-app,2025-07-13T06:55:38Z,OPEN,['システム'],README,サイト利用ガイドの新設とステップ定義の見解確認,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/6054,【コンセプト提案】サイト利用ガイドの新設と、「ステップ」定義に関する見解の確認
6053,【きくさん提案】憲法に関する考え方の追加,app/idobata-policy-app,2025-07-13T06:49:23Z,OPEN,ビジョン,README,憲法に関する考え方の追加,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/6053,【きくさん提案】憲法に関する考え方の追加
6046,政策提案における根拠明記のルール強化,app/idobata-policy-app,2025-07-13T06:30:13Z,OPEN,['システム'],README,政策提案における根拠明記のルール強化,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/6046,政策提案における根拠明記のルール強化
6045,[ほんさんからのご提案] 動物愛護政策の新規追加,app/idobata-policy-app,2025-07-13T06:23:23Z,OPEN,その他政策,README,動物愛護政策（ペット資格制度・虐待防止）,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/6045,[ほんさんからのご提案] 動物愛護政策の新規追加
6040,ゆかこさんによる改善提案：不妊治療の対象拡大による多様な家族形成支援,app/idobata-policy-app,2025-07-13T06:09:36Z,OPEN,子育て,README,不妊治療の対象拡大による多様な家族形成支援,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/6040,ゆかこさんによる改善提案：不妊治療の対象拡大による多様な家族形成支援
