PR番号,タイトル,作成者,作成日,ステータス,政策分野（新ラベル）,旧ラベル,分類理由,分析メモ,URL,説明（200文字まで）
5822,福祉分野の政策に、性犯罪の根絶を目指す新たな項目を追加,app/idobata-policy-app,2025-07-12T13:39:15Z,OPEN,,README,,,https://github.com/team-mirai/policy/pull/5822,福祉分野の政策に、性犯罪の根絶を目指す新たな項目を追加
5817,提案：デジタル民主主義に「世代間の声の不均衡を是正する仕組み」を追加,app/idobata-policy-app,2025-07-12T13:24:58Z,OPEN,,README,,,https://github.com/team-mirai/policy/pull/5817,提案：デジタル民主主義に「世代間の声の不均衡を是正する仕組み」を追加
5816,改善提案：子どもの安全を守るための新しい政策項目を追加,app/idobata-policy-app,2025-07-12T13:24:36Z,OPEN,,README,,,https://github.com/team-mirai/policy/pull/5816,改善提案：子どもの安全を守るための新しい政策項目を追加
5813,性犯罪・性暴力の根絶と被害者保護の徹底を求める提案,app/idobata-policy-app,2025-07-12T13:13:14Z,OPEN,,README,,,https://github.com/team-mirai/policy/pull/5813,性犯罪・性暴力の根絶と被害者保護の徹底を求める提案
5799,支援のあり方に関する基本原則の追加,app/idobata-policy-app,2025-07-12T12:24:15Z,OPEN,,README,,,https://github.com/team-mirai/policy/pull/5799,支援のあり方に関する基本原則の追加
5798,すぎやまさんによる「コンテンツ産業と表現の自由」に関する改善提案,app/idobata-policy-app,2025-07-12T12:22:40Z,OPEN,,README,,,https://github.com/team-mirai/policy/pull/5798,すぎやまさんによる「コンテンツ産業と表現の自由」に関する改善提案
5797,国民の安全を守るための性犯罪対策強化,app/idobata-policy-app,2025-07-12T12:22:23Z,OPEN,,README,,,https://github.com/team-mirai/policy/pull/5797,国民の安全を守るための性犯罪対策強化
5796,政策提案：老老介護におけるコミュニケーション支援の具体例を追記,app/idobata-policy-app,2025-07-12T12:20:12Z,OPEN,,README,,,https://github.com/team-mirai/policy/pull/5796,政策提案：老老介護におけるコミュニケーション支援の具体例を追記
5793,国民との対話の改革案：提案対応の遅延に対するお詫びと具体的な改善策の明記,app/idobata-policy-app,2025-07-12T12:14:39Z,OPEN,,README,,,https://github.com/team-mirai/policy/pull/5793,国民との対話の改革案：提案対応の遅延に対するお詫びと具体的な改善策の明記
5785,「チームみらいについて」の記述を改善し、デジタル化への姿勢を明確化,app/idobata-policy-app,2025-07-12T11:56:44Z,OPEN,,README,,,https://github.com/team-mirai/policy/pull/5785,「チームみらいについて」の記述を改善し、デジタル化への姿勢を明確化
5774,【太一郎提案】提案への迅速な応答を義務付け、チームみらいの不誠実な対応を是正,app/idobata-policy-app,2025-07-12T10:54:35Z,OPEN,,README,,,https://github.com/team-mirai/policy/pull/5774,【太一郎提案】提案への迅速な応答を義務付け、チームみらいの不誠実な対応を是正
5772,教育におけるデジタルと従来手法の最適な組み合わせを求める方針の追加,app/idobata-policy-app,2025-07-12T10:52:04Z,OPEN,,README,,,https://github.com/team-mirai/policy/pull/5772,教育におけるデジタルと従来手法の最適な組み合わせを求める方針の追加
5771,【匿名ユーザーさんによる改善提案】国際宇宙港（スペースポート）構想の追加,app/idobata-policy-app,2025-07-12T10:51:09Z,OPEN,,README,,,https://github.com/team-mirai/policy/pull/5771,【匿名ユーザーさんによる改善提案】国際宇宙港（スペースポート）構想の追加
5770,政策提案：障害者支援における多角的な負担決定プロセスの導入,app/idobata-policy-app,2025-07-12T10:43:37Z,OPEN,,README,,,https://github.com/team-mirai/policy/pull/5770,政策提案：障害者支援における多角的な負担決定プロセスの導入
5767,同性婚の法制化をマニフェストに明記する提案,app/idobata-policy-app,2025-07-12T10:25:50Z,OPEN,,README,,,https://github.com/team-mirai/policy/pull/5767,同性婚の法制化をマニフェストに明記する提案
5766,マニフェストの基本理念の明確化,app/idobata-policy-app,2025-07-12T10:13:39Z,OPEN,,README,,,https://github.com/team-mirai/policy/pull/5766,マニフェストの基本理念の明確化
5763,政策の追加：同性婚の法制化,app/idobata-policy-app,2025-07-12T10:07:56Z,OPEN,,README,,,https://github.com/team-mirai/policy/pull/5763,政策の追加：同性婚の法制化
5762,公的な死後事務支援システムの構築に関する提案,app/idobata-policy-app,2025-07-12T10:03:43Z,OPEN,,README,,,https://github.com/team-mirai/policy/pull/5762,公的な死後事務支援システムの構築に関する提案
5758,ケアマネジャー更新研修制度の負担軽減と抜本的見直し,app/idobata-policy-app,2025-07-12T09:43:28Z,OPEN,,README,,,https://github.com/team-mirai/policy/pull/5758,ケアマネジャー更新研修制度の負担軽減と抜本的見直し
5756,いじめ・性加害の加害者に対する教育改革案の追加,app/idobata-policy-app,2025-07-12T09:30:38Z,OPEN,,README,,,https://github.com/team-mirai/policy/pull/5756,いじめ・性加害の加害者に対する教育改革案の追加
5753,匿名ユーザーによる孤独死対策の提案：テクノロジーによる見守り,app/idobata-policy-app,2025-07-12T09:09:59Z,OPEN,,README,,,https://github.com/team-mirai/policy/pull/5753,匿名ユーザーによる孤独死対策の提案：テクノロジーによる見守り
5748,AI活用基本方針の追加：「使われるAI」ではなく、「使いこなす社会」へ,app/idobata-policy-app,2025-07-12T09:03:49Z,OPEN,,README,,,https://github.com/team-mirai/policy/pull/5748,AI活用基本方針の追加：「使われるAI」ではなく、「使いこなす社会」へ
5746,ヤングケアラーとそのきょうだいへの医療・福祉サポート体制の強化,app/idobata-policy-app,2025-07-12T08:56:05Z,OPEN,,README,,,https://github.com/team-mirai/policy/pull/5746,ヤングケアラーとそのきょうだいへの医療・福祉サポート体制の強化
5745,氷河期世代支援と多様な人材登用の呼びかけ,app/idobata-policy-app,2025-07-12T08:49:33Z,OPEN,,README,,,https://github.com/team-mirai/policy/pull/5745,氷河期世代支援と多様な人材登用の呼びかけ
5742,「人権に関する基本方針」の追加,app/idobata-policy-app,2025-07-12T08:41:24Z,OPEN,,README,,,https://github.com/team-mirai/policy/pull/5742,「人権に関する基本方針」の追加
5732,AIの構造的リスクと世論操作の危険性に関する重大な注意喚起の追記,app/idobata-policy-app,2025-07-12T08:23:17Z,OPEN,,README,,,https://github.com/team-mirai/policy/pull/5732,AIの構造的リスクと世論操作の危険性に関する重大な注意喚起の追記
5730,【匿名ユーザーからの提案】労働者の権利保護（産業分野）,app/idobata-policy-app,2025-07-12T08:20:23Z,OPEN,,README,,,https://github.com/team-mirai/policy/pull/5730,【匿名ユーザーからの提案】労働者の権利保護（産業分野）
5728,治安政策強化のため「犯罪を犯した外国人の強制送還手続きの迅速化・厳格化」の項目を追加,app/idobata-policy-app,2025-07-12T08:06:09Z,OPEN,,README,,,https://github.com/team-mirai/policy/pull/5728,治安政策強化のため「犯罪を犯した外国人の強制送還手続きの迅速化・厳格化」の項目を追加
