PR番号,タイトル,作成者,作成日,ステータス,URL
5539,匿名ユーザーによる政策改善提案：選挙、司法、年金運用など,app/idobata-policy-app,2025-07-11T15:19:20Z,OPEN,https://github.com/team-mirai/policy/pull/5539
5538,README.md：議論のハイライトを追加し、デジタル母子手帳の災害時対策に関する議論を反映,app/idobata-policy-app,2025-07-11T15:13:47Z,OPEN,https://github.com/team-mirai/policy/pull/5538
5537,feat: 匿名ユーザーによるシェルター整備政策の提案を追加,app/idobata-policy-app,2025-07-11T15:03:49Z,OPEN,https://github.com/team-mirai/policy/pull/5537
5534,「社会的養護の改革」に関する包括的な改善提案,app/idobata-policy-app,2025-07-11T14:52:55Z,OPEN,https://github.com/team-mirai/policy/pull/5534
5531,「産業」政策における多様な業種への配慮の必要性について,app/idobata-policy-app,2025-07-11T14:44:34Z,OPEN,https://github.com/team-mirai/policy/pull/5531
5528,ひろこさん提案：「AIコンシェルジュ」と「心のセーフティネット」の創設,app/idobata-policy-app,2025-07-11T14:40:19Z,OPEN,https://github.com/team-mirai/policy/pull/5528
5520,AI活用による財源確保と、世代を超えた安心保障の実現,app/idobata-policy-app,2025-07-11T14:09:13Z,OPEN,https://github.com/team-mirai/policy/pull/5520
5516,【AIのミスにより撤回】ジェンダー問題に関する基本方針の追加,app/idobata-policy-app,2025-07-11T14:03:51Z,OPEN,https://github.com/team-mirai/policy/pull/5516
5515,家族の一体感を守りつつ、旧姓使用の不便を解消する提案,app/idobata-policy-app,2025-07-11T14:00:31Z,OPEN,https://github.com/team-mirai/policy/pull/5515
5513,マニフェストの改善：キャッチコピー追加と表現の現代化,app/idobata-policy-app,2025-07-11T13:53:51Z,OPEN,https://github.com/team-mirai/policy/pull/5513
5512,政策提案：国立病院の財政基盤の安定化,app/idobata-policy-app,2025-07-11T13:52:31Z,OPEN,https://github.com/team-mirai/policy/pull/5512
5505,義務教育における新しい体育の導入,app/idobata-policy-app,2025-07-11T13:38:02Z,OPEN,https://github.com/team-mirai/policy/pull/5505
5502,移民政策に関する項目の追加と、慎重な検討を促す基本方針の明記,app/idobata-policy-app,2025-07-11T13:29:48Z,OPEN,https://github.com/team-mirai/policy/pull/5502
5497,メンタルヘルス政策に関する新たな視点の追加,app/idobata-policy-app,2025-07-11T13:03:39Z,OPEN,https://github.com/team-mirai/policy/pull/5497
5494,AIと労働力の未来に関する新たな方針の提案,app/idobata-policy-app,2025-07-11T12:48:14Z,OPEN,https://github.com/team-mirai/policy/pull/5494
5489,選挙期間中のマニフェストの取り扱いに関するルールを追加,app/idobata-policy-app,2025-07-11T12:30:02Z,OPEN,https://github.com/team-mirai/policy/pull/5489
5488,表現の自由と創作活動の支援に関する政策の追加,app/idobata-policy-app,2025-07-11T12:28:36Z,OPEN,https://github.com/team-mirai/policy/pull/5488
5487,ともきさんによる東京一極集中の是正と地方創生に関する提案,app/idobata-policy-app,2025-07-11T12:24:36Z,OPEN,https://github.com/team-mirai/policy/pull/5487
