PR番号,URL,タイトル,カテゴリ,具体性,実現難易度,要約,類似グループ
6230,https://github.com/team-mirai/policy/pull/6230,発達障害児への教育支援を強化,教員・人材,高,高,発達障害児支援のため教員研修充実・専門家常駐・支援員増員と定員削減を実施,-
6519,https://github.com/team-mirai/policy/pull/6519,金融リテラシー教育の充実,カリキュラム改革,中,中,小中高の学習指導要領を改訂し、税・年金・社会保障等の金融リテラシー教育を体系的に導入,2
6533,https://github.com/team-mirai/policy/pull/6533,AIとの協働による創造性の育成と、人間関係を豊かにする支援の実現,デジタル化,高,高,AIを創造のパートナーとして教育に活用し人間関係を豊かにする支援も実現,2
6463,https://github.com/team-mirai/policy/pull/6463,ジェンダーと多様性の視点を追加し、より包括的な教育政策への改善提案,制度・システム,中,中,教育政策にジェンダー平等とSOGI配慮の視点を追加し、AI活用においても多様性を確保,-
6257,https://github.com/team-mirai/policy/pull/6257,日本版DBSの創設による子どもの安全な学習環境の確保,制度・システム,高,高,子どもと関わる職への就職希望者の性犯罪歴を確認できる日本版DBS制度の創設,-
6554,https://github.com/team-mirai/policy/pull/6554,所得制限のあり方を見直し、中間層も支援する公平な教育制度へ,制度・システム,中,中,教育支援の所得制限を見直し、支援から外れる中間層も含めた公平な体験学習クーポン制度を構築,-
6171,https://github.com/team-mirai/policy/pull/6171,AI活用教育案の改善：社会人の学び直しとキャリアカウンセリング機能の追加,デジタル化,中,高,AIを活用し子どもから社会人まで個別最適な学習とキャリア支援を実現する教育改革,-
6018,https://github.com/team-mirai/policy/pull/6018,【GeoBlazeさん提案】ブラックボックス型警備ロボットの導入,設備・インフラ,高,高,プライバシー保護型警備ロボットで校内問題の客観的記録と教員負担軽減,-
6172,https://github.com/team-mirai/policy/pull/6172,美術科など実技教科の特性を踏まえたAI活用を提案,デジタル化,高,中,美術科等の実技教科向けに基礎スキル習得AIドリルと教員向け教材データベースを整備,-
6111,https://github.com/team-mirai/policy/pull/6111,AIメンタルアシスタントの安全性に関する改善提案,デジタル化,高,中,AIメンタルアシスタントの不調検知・自動停止・代替AI切替による安全性強化,-
6186,https://github.com/team-mirai/policy/pull/6186,教育：教員の役割見直しと外部人材活用の提案,教員・人材,中,高,教員業務を外部委託可能なものと本来業務に分け、部活動等を外部に任せ生徒ケアに専念,-
6509,https://github.com/team-mirai/policy/pull/6509,教育政策の改善：就学時期の柔軟化について（かなたさん提案）,制度・システム,中,高,早生まれの不利を解消するため、保護者の希望で就学時期を柔軟に選択できる制度の導入,2
6507,https://github.com/team-mirai/policy/pull/6507,教育ビジョンの明確化と、それに伴う各政策の修正,制度・システム,高,中,教育の全体ビジョンとして学力・ウェルビーイング・SELの3本柱を明示し既存政策を修正,2
5934,https://github.com/team-mirai/policy/pull/5934,教育政策の改善提案：公的支出の拡充と高等教育の負担軽減,予算・財源,中,高,公教育支出拡充による格差是正と高等教育無償化を目指し、経済状況に関わらない教育機会を保障,-
6434,https://github.com/team-mirai/policy/pull/6434,教育：体験学習クーポンの対象に多子世帯への配慮を追加,制度・システム,中,低,体験学習クーポンの支給対象決定時に世帯年収だけでなく子供の人数も考慮し多子世帯に配慮,-
6337,https://github.com/team-mirai/policy/pull/6337,PTA活動支援の項目を追加,地域連携,高,中,PTA活動の外部委託費用を補助する制度を創設し保護者負担を軽減,-
6409,https://github.com/team-mirai/policy/pull/6409,社会人向けAI教育の具体化と、人間中心の価値創造への移行,デジタル化,高,中,社会教育施設でAI研修・資格制度・補助金等を通じ社会人の創造性向上を目指す,-
6096,https://github.com/team-mirai/policy/pull/6096,EdTech推進に関するネット依存対策の追加,デジタル化,中,低,EdTech推進において端末の長時間利用によるネット依存を防ぐ管理ソフトウェア導入を提案,-
6155,https://github.com/team-mirai/policy/pull/6155,幼児教育の重要性に関する項目を追加,制度・システム,中,高,保育施設を教育機関として再定義し、遊びを通じた思考力育成と保育士の専門性向上を推進,-
6500,https://github.com/team-mirai/policy/pull/6500,「ブラック校則」の見直しを明記し、子どもの安全と教員の働き方改革を推進,制度・システム,中,中,ブラック校則の見直しを教員の働き方改革に明記し、子どもの安全確保と教員の負担軽減を両立,2
6125,https://github.com/team-mirai/policy/pull/6125,新世代児童館の機能拡充：AI学習支援と多世代交流の導入,設備・インフラ,高,中,新世代児童館にAI学習支援と多様なボランティアによる学習サポートを導入し学力格差解消と多世代交流を実現,-
6048,https://github.com/team-mirai/policy/pull/6048,選択的夫婦別姓の実現に向け、「多様な家族のあり方を支える」項目を追加,制度・システム,中,高,選択的夫婦別姓を含む多様な家族形態を支援する新項目をマニフェストに追加,-
5925,https://github.com/team-mirai/policy/pull/5925,新規提案：７）安全で快適な学習環境の整備（エアコン設置）,設備・インフラ,高,高,全国の公立小中高の普通教室と体育館へのエアコン設置を国主導で推進し学習環境格差を是正,-
6147,https://github.com/team-mirai/policy/pull/6147,sさんの提案：社会人の学び直し（リスキリング）支援策の追記,制度・システム,中,高,AI活用で生まれた時間を社会人のリスキリングに充て、週休3日制導入も支援し学び続けられる環境整備,-
6067,https://github.com/team-mirai/policy/pull/6067,社会教育施設の運営基盤強化：安定的予算確保の明記,予算・財源,中,高,社会教育施設の物価高騰に対応した安定的運営予算確保を政策に明記,-
6501,https://github.com/team-mirai/policy/pull/6501,社会教育施設における文化財保護と伝統工芸継承の推進,地域連携,高,中,社会教育施設でデジタル技術と伝統工芸の実体験を組み合わせ文化継承を推進,2
6516,https://github.com/team-mirai/policy/pull/6516,現役世代の学び直し（リスキリング）支援策の追加,制度・システム,中,高,現役世代のIT・AIスキル習得支援のため企業助成金拡充と国営学習プラットフォーム構築を提案,1
6109,https://github.com/team-mirai/policy/pull/6109,先生の働き方改革に具体的な目標値を追加,教員・人材,高,中,教員の働き方改革に「1日1時間の余裕創出」という具体的目標値を追加,-
