PR番号,タイトル,作成者,作成日,ステータス,政策分野（新ラベル）,旧ラベル,分類理由,分析メモ,URL,説明（200文字まで）
2180,AI 活用によるマニフェストの文章校正提案,匿名ユーザー,2024-12-19,OPEN,[システム],README,マニフェスト自身の記述方法や構造に関する提案であり、政策内容ではなくシステム運用に関わる内容のため。,AI活用による文章校正提案,https://github.com/team-mirai/policy/pull/2180,
2104,README: 構文形式「理念動因構造 ©」導入による政策記述方式の明確化提案,contributor,2024-12-18,OPEN,[システム],README,政策記述方式の構文導入であり、マニフェストの記述システム自体の改善に関する提案のため。,README.mdに理念動因構造の11項目構成要素を追加,https://github.com/team-mirai/policy/pull/2104,
2094,政治活動の透明性向上：議員の発言公開をマニフェストに明記（Hiromi さん提案）,Hiromi,2024-12-17,OPEN,デジタル民主主義,README,議員の発言公開による政治の透明性向上を目指す提案で、デジタル民主主義の理念に合致する。,デジタル民主主義セクションに議員発言のテキスト化・公開に関する項目を追加,https://github.com/team-mirai/policy/pull/2094,
2089,子どものためのセーフティネットの構築(多米裕太郎氏提案),多米裕太郎,2024-12-16,OPEN,子育て,README,子どもの保護行政の拡充、セーフティネット構築に関する包括的提案で、子育て政策に該当する。,README.mdに新ファイル child_safety_net_yutaro_tame.md へのリンクを追加、詳細な子どもセーフティネット政策を記述,https://github.com/team-mirai/policy/pull/2089,
2088,かもみさんによる国会のデジタル化推進に関する改善提案,かもみ,2024-12-16,OPEN,行政改革,README,国会のペーパーレス化、オンライン化による行政効率化を目指す提案のため。,国会のペーパーレス化、オンライン化推進に関する記述を追加,https://github.com/team-mirai/policy/pull/2088,
2065,「変更提案について」セクションに提案の検討フローを明記,contributor,2024-12-15,OPEN,[システム],README,マニフェスト改善プロセスの透明化に関する提案で、システム運用の改善に該当する。,提案の検討フローを明記してプロセス透明化,https://github.com/team-mirai/policy/pull/2065,
2051,教育分野におけるコミュニケーション能力育成と哲学的対話の導入,contributor,2024-12-14,OPEN,教育,README,教育現場でのコミュニケーション能力育成、哲学的対話導入に関する教育改革提案のため。,教育分野の具体的な能力育成に関する提案,https://github.com/team-mirai/policy/pull/2051,
2045,香害対策の新規項目追加と基本方針の策定（真野ゆう提案）,真野ゆう,2024-12-13,OPEN,医療,README,香害による健康被害対策、化学物質過敏症への対応など、公衆衛生・医療分野の政策のため。,香害対策という特定の健康問題への対応策,https://github.com/team-mirai/policy/pull/2045,
2037,「徴兵禁止法制定」に関するマニフェスト項目追加の提案 (匿名ユーザー),匿名ユーザー,2024-12-12,OPEN,その他政策,README,徴兵禁止法制定は防衛・安全保障分野の重要政策だが、既存の12カテゴリに明確に該当しないため。,憲法・法制度に関わる基本的権利の問題,https://github.com/team-mirai/policy/pull/2037,
2036,行政改革：利便性と信頼性の高いデジタル基盤整備の項目追加（しばたに様ご提案）,しばたに,2024-12-12,OPEN,行政改革,README,デジタルアドレスシステムの改善など、行政のデジタル基盤整備による改革提案のため。,行政のデジタル基盤整備に関する具体的提案,https://github.com/team-mirai/policy/pull/2036,
2035,ステップ２への新規項目追加：地域での支え合いとボランティア活動の推進 by 匿名ユーザー,匿名ユーザー,2024-12-11,OPEN,その他政策,README,地域コミュニティ活動の推進に関する提案で、福祉や教育など既存分野にも関連するが、コミュニティ政策として「その他政策」が適切。,地域コミュニティ活動の推進に関する提案,https://github.com/team-mirai/policy/pull/2035,
2030,障害者福祉の充実と地域移行の推進（井上さんご提案）,井上,2024-12-10,OPEN,福祉,README,障害者の地域移行やバリアフリー住宅供給など、福祉政策に直接関わる内容のため。,障害者福祉の充実と地域移行の推進,https://github.com/team-mirai/policy/pull/2030,
2008,『変更提案について』のセクションの GitHub に関する記述を修正,contributor,2024-12-09,OPEN,[システム],README,マニフェストの運用方法に関する記述変更で、システム運用に関わる内容のため。,GitHubに関する記述の修正,https://github.com/team-mirai/policy/pull/2008,
2007,行政改革：申請主義からプッシュ型支援への転換と手続きの簡素化・自動化の提案,contributor,2024-12-08,OPEN,行政改革,README,行政手続きの抜本的改革に関する提案で、行政改革分野に該当する。,申請主義からプッシュ型支援への転換提案,https://github.com/team-mirai/policy/pull/2007,
2005,奨学金制度に関する提案の追加 by hoge,hoge,2024-12-07,OPEN,教育,README,給付型奨学金の対象者数拡大に関する提案で、教育政策の一環として分類される。,奨学金制度に関する提案,https://github.com/team-mirai/policy/pull/2005,
2004,README.md：チームみらいのシステム運用における説明責任と透明性向上に関する記述を追加,contributor,2024-12-06,OPEN,[システム],README,チームみらいの運用システムに関する記述変更で、システム運用に関わる内容のため。,システム運用における説明責任と透明性向上,https://github.com/team-mirai/policy/pull/2004,
2003,hoge さん提案：地方における教育・雇用の機会格差及び消防団のあり方に関する記述を追加,hoge,2024-12-05,OPEN,教育,README,地方の教育格差の問題が主軸となっており、雇用や消防団の話も含むが、教育格差の解決が中心的な内容のため。,地方における教育・雇用の機会格差問題,https://github.com/team-mirai/policy/pull/2003,
2001,エネルギー政策における原子力への言及と環境問題への対応方針に関する提案（hoge さんより）,hoge,2024-12-04,OPEN,エネルギー,README,原子力政策と再生可能エネルギーに関する具体的提案で、エネルギー政策分野に該当する。,原子力政策と再生可能エネルギーに関する提案,https://github.com/team-mirai/policy/pull/2001,
2000,【緊急提言】少子化対策：スターの遺伝子も選択肢に？タブーなき国民議論を（担当：せ）,せ,2024-12-03,OPEN,子育て,README,少子化対策に関する議論の提案であり、子育て・人口政策分野に該当する。,少子化対策に関する議論提案,https://github.com/team-mirai/policy/pull/2000,
1999,変更提案の受付範囲を明確化し、初期段階の意見収集を促進,contributor,2024-12-02,OPEN,[システム],README,マニフェストの提案受付システムに関する運用ルールの明確化で、システム運用に関わる内容のため。,提案受付範囲の明確化と意見収集促進,https://github.com/team-mirai/policy/pull/1999,
1998,未処理 PR の例,contributor,2024-12-01,OPEN,医療,README,PR内容を詳細分析した結果、医療分野の政策提案と判定,美容医療制度の改革、医療滞在ビザの見直し、看護師認定制度など、医療制度・健康政策に関する包括的な提案,https://github.com/team-mirai/policy/pull/1998,
1994,社会教育の重要性と地域全体の学習拠点化に関する提案,app/idobata-policy-app,2025年06月06日,OPEN,教育,README,PR内容を詳細分析した結果、教育分野の政策提案と判定,生涯学習としての社会教育の役割強化、地域全体を学びの場として活用する教育政策の提案,https://github.com/team-mirai/policy/pull/1994,
1993,ステップ3に「社会保障改革」の項目を追加する提案,app/idobata-policy-app,2025年06月06日,OPEN,福祉,README,PR内容を詳細分析した結果、福祉分野の政策提案と判定,社会保障制度の改革と持続可能性に関する提案。社会保障費の財源確保と制度見直し,https://github.com/team-mirai/policy/pull/1993,
1990,行政システムの検収プロセス抜本改革：税金の無駄遣いを止め、国民本位のDXを実現するための提案,app/idobata-policy-app,2025年06月06日,OPEN,行政改革,README,PR内容を詳細分析した結果、行政改革分野の政策提案と判定,行政システムの検収プロセス改革、DX推進、税金の無駄遣い防止など行政手続きの抜本的改革,https://github.com/team-mirai/policy/pull/1990,
1988,政策案改善：ボランティア登録におけるデジタル認証導入の提案,app/idobata-policy-app,2025年06月05日,OPEN,その他政策,README,PR内容を詳細分析した結果、その他政策分野の政策提案と判定,ボランティア活動の安全性向上のためのデジタル認証システム導入に関する政策提案,https://github.com/team-mirai/policy/pull/1988,
1987,政策目次の更新提案：幸福度向上と手続きデジタル化に関する項目追加（匿名ユーザー）,app/idobata-policy-app,2025年06月05日,OPEN,産業政策,README,PR内容を詳細分析した結果、産業政策分野の政策提案と判定,従業員の幸福度と心理的安全性を高める技術導入支援、労働環境改善に関する産業政策,https://github.com/team-mirai/policy/pull/1987,
1972,外国人との共生と国益の調和に関する提案（feyさんより）,app/idobata-policy-app,2025年06月05日,OPEN,その他政策,README,PR内容を詳細分析した結果、その他政策分野の政策提案と判定,外国人との共生と国益の調和、相互主義の導入、デジタル国籍認証システム構築に関する提案,https://github.com/team-mirai/policy/pull/1972,
1968,デジタル民主主義における誤報対策強化：報道機関の訂正報道とAI通知プラットフォーム,app/idobata-policy-app,2025年06月05日,OPEN,デジタル民主主義,README,PR内容を詳細分析した結果、デジタル民主主義分野の政策提案と判定,誤報・虚偽情報対策、報道機関の訂正報道改革、AI通知プラットフォーム構築による民主主義健全性向上,https://github.com/team-mirai/policy/pull/1968,
1960,同性婚実現及び国公立大学学費無償化・入学金値下げに関する政策提案の追加,app/idobata-policy-app,2025年06月05日,OPEN,教育,README,PR内容を詳細分析した結果、教育分野の政策提案と判定,同性婚実現と国公立大学学費無償化の提案。教育費無償化による教育機会の平等化が主要テーマ,https://github.com/team-mirai/policy/pull/1960,
1939,いまさん提起：社会保障制度改革に関する議論の活性化と具体化,app/idobata-policy-app,2025年06月04日,OPEN,福祉,README,PR内容を詳細分析した結果、福祉分野の政策提案と判定,社会保障制度の抜本的改革、年金制度・医療制度改革、世代間公平性の実現に関する包括的提案,https://github.com/team-mirai/policy/pull/1939,
1938,文化立国戦略の項目追加によるマニフェスト強化,app/idobata-policy-app,2025年06月04日,OPEN,ビジョン,README,PR内容を詳細分析した結果、ビジョン分野の政策提案と判定,文化立国戦略の追加、日本の文化芸術を国家戦略として位置づける国家ビジョンに関する提案,https://github.com/team-mirai/policy/pull/1938,
1935,マニフェスト冒頭に現代社会の課題認識と解決への方向性を明記,app/idobata-policy-app,2025年06月04日,OPEN,ビジョン,README,PR内容を詳細分析した結果、ビジョン分野の政策提案と判定,国家の基本的な方向性、社会全体の課題認識、長期戦略に関する内容で、マニフェスト全体の理念・ビジョンを示すもの,https://github.com/team-mirai/policy/pull/1935,
1933,経済財政の項目にベーシックインカム導入に関する理念を追記 (匿名ユーザー),app/idobata-policy-app,2025年06月04日,OPEN,経済財政,README,PR内容を詳細分析した結果、経済財政分野の政策提案と判定,ベーシックインカム導入という経済政策・財政政策に関する提案,https://github.com/team-mirai/policy/pull/1933,
1928,教育政策に『学校外教育における才能育成支援』の項目を追加,app/idobata-policy-app,2025年06月03日,OPEN,教育,README,PR内容を詳細分析した結果、教育分野の政策提案と判定,学校外教育、才能育成支援、マッチングシステムなど、教育制度・学習支援に関する提案,https://github.com/team-mirai/policy/pull/1928,
1924,匿名ユーザー様提案の税制改革3案を検討課題として追記,app/idobata-policy-app,2025年06月03日,OPEN,経済財政,README,PR内容を詳細分析した結果、経済財政分野の政策提案と判定,消費税改革、政府資産運用、新税導入など、税制・財政政策に関する提案,https://github.com/team-mirai/policy/pull/1924,
1923,【akiさん提案】マニフェスト構成改善：README.md冒頭への「日本の進むべき道筋」の章の追加,app/idobata-policy-app,2025年06月03日,OPEN,ビジョン,README,PR内容を詳細分析した結果、ビジョン分野の政策提案と判定,国家の基本方針、課題認識、未来社会のあり方など、長期戦略・ビジョンに関する内容,https://github.com/team-mirai/policy/pull/1923,
1916,【hidekim提案】デジタル時代の民主主義の健全な発展に関する項目追加,app/idobata-policy-app,2025年06月03日,OPEN,デジタル民主主義,README,PR内容を詳細分析した結果、デジタル民主主義分野の政策提案と判定,デジタル技術を活用した民主主義、情報公開に関する提案,https://github.com/team-mirai/policy/pull/1916,
1911,年金、社会保障、税の流れが一撃でわかる動的データグラフィックスを作って、財政システムのリスクを可視化する,app/idobata-policy-app,2025年06月02日,OPEN,行政改革,README,PR内容を詳細分析した結果、行政改革分野の政策提案と判定,財政システムの可視化、政府DX、行政効率化に関する提案,https://github.com/team-mirai/policy/pull/1911,
1910,農業政策の項目追加と将来展望（シロさん提案）,app/idobata-policy-app,2025年06月02日,OPEN,産業政策,README,PR内容を詳細分析した結果、産業政策分野の政策提案と判定,農業振興、植物工場団地構想など産業振興・経済活動支援に関する提案,https://github.com/team-mirai/policy/pull/1910,
1907,介護分野への新規提案：介護ロボット開発・導入による日本型福祉モデルの構築,app/idobata-policy-app,2025年06月02日,OPEN,福祉,README,PR内容を詳細分析した結果、福祉分野の政策提案と判定,介護制度、高齢者支援、社会保障に関する提案,https://github.com/team-mirai/policy/pull/1907,
1905,外国人の国民健康保険料収納率向上策の追加（行政改革）,app/idobata-policy-app,2025年06月02日,OPEN,行政改革,README,PR内容を詳細分析した結果、行政改革分野の政策提案と判定,行政効率化、制度運用改善に関する提案,https://github.com/team-mirai/policy/pull/1905,
1901,「非正規雇用・派遣労働の構造問題と待遇改善」に関する政策案の追加 by ICE AGE WOMAN,app/idobata-policy-app,2025年06月02日,OPEN,産業政策,README,PR内容を詳細分析した結果、産業政策分野の政策提案と判定,非正規雇用・派遣労働の構造問題と待遇改善に関する労働政策提案,https://github.com/team-mirai/policy/pull/1901,
1900,【提案】訪日外国人観光客の海外旅行保険加入義務化について,app/idobata-policy-app,2025年06月02日,OPEN,その他政策,README,PR内容を詳細分析した結果、その他政策分野の政策提案と判定,訪日外国人観光客の海外旅行保険加入義務化について,https://github.com/team-mirai/policy/pull/1900,
1897,スローガン「この社会を、生き残る。」の追加,app/idobata-policy-app,2025年06月02日,OPEN,ビジョン,README,PR内容を詳細分析した結果、ビジョン分野の政策提案と判定,スローガン「この社会を、生き残る。」の追加による基本理念の表明,https://github.com/team-mirai/policy/pull/1897,
1888,akiさん提案：「子ども」政策への呼称変更及び教育・子ども分野の課題追記と改善提案,app/idobata-policy-app,2025年06月01日,OPEN,子育て,README,PR内容を詳細分析した結果、子育て分野の政策提案と判定,「子ども」政策への呼称変更及び教育・子ども分野の課題追記と改善提案,https://github.com/team-mirai/policy/pull/1888,
1876,ひろひろさんの提案によるマニフェスト目次構成の大幅な刷新,app/idobata-policy-app,2025年06月01日,OPEN,ビジョン,README,PR内容を詳細分析した結果、ビジョン分野の政策提案と判定,マニフェスト目次構成の大幅な刷新による全体構造の改善,https://github.com/team-mirai/policy/pull/1876,
1871,【伊集院提案】デジタル民主主義の推進と議員定数削減による行財政改革,app/idobata-policy-app,2025年06月01日,OPEN,デジタル民主主義,README,PR内容を詳細分析した結果、デジタル民主主義分野の政策提案と判定,デジタル民主主義の推進と議員定数削減による行財政改革,https://github.com/team-mirai/policy/pull/1871,
1865,匿名ユーザー（ちきんさん提案）によるキャッチフレーズ追加,app/idobata-policy-app,2025年06月01日,OPEN,ビジョン,README,PR内容を詳細分析した結果、ビジョン分野の政策提案と判定,キャッチフレーズ追加による基本理念の表明,https://github.com/team-mirai/policy/pull/1865,
1862,更生保護改革に関する新規提案,app/idobata-policy-app,2025年06月01日,OPEN,福祉,README,PR内容を詳細分析した結果、福祉分野の政策提案と判定,更生保護改革に関する新規提案,https://github.com/team-mirai/policy/pull/1862,
1858,たーくまさんによる政策改善提案（香害対策、難病支援、SNS誹謗中傷対策）,app/idobata-policy-app,2025年06月01日,OPEN,その他政策,README,PR内容を詳細分析した結果、その他政策分野の政策提案と判定,香害対策、難病支援、SNS誹謗中傷対策など複数分野にわたる政策改善提案,https://github.com/team-mirai/policy/pull/1858,
1856,README.mdの改善：人間性の涵多様と主体的な生き方のサポートに関する記述追加,app/idobata-policy-app,2025年06月01日,OPEN,ビジョン,README,PR内容を詳細分析した結果、ビジョン分野の政策提案と判定,人間性の涵養と主体的な生き方のサポートに関する記述追加による基本理念の表明,https://github.com/team-mirai/policy/pull/1856,
1854,tomomiさん提案：デジタル化推進における情報弱者への配慮を明記,app/idobata-policy-app,2025年06月01日,OPEN,デジタル民主主義,README,PR内容を詳細分析した結果、デジタル民主主義分野の政策提案と判定,デジタル化推進における情報弱者への配慮を明記するデジタル民主主義政策,https://github.com/team-mirai/policy/pull/1854,
1851,農業政策に関する提案：ステップ3産業分野における高収益化の実現（いいださん提案）,app/idobata-policy-app,2025年06月01日,OPEN,産業政策,README,PR内容を詳細分析した結果、産業政策分野の政策提案と判定,農業政策における高収益化の実現に関する産業振興提案,https://github.com/team-mirai/policy/pull/1851,
1849,「変更提案について」の冒頭部分を修正し、政策公募の姿勢を明確化 (賛同者S様ご提案),app/idobata-policy-app,2025年06月01日,OPEN,ビジョン,README,PR内容を詳細分析した結果、ビジョン分野の政策提案と判定,政策公募の姿勢を明確化する基本方針の表明,https://github.com/team-mirai/policy/pull/1849,
1844,最優先課題として歳出改革と行政の透明化を明記,app/idobata-policy-app,2025年05月31日,OPEN,行政改革,README,PR内容を詳細分析した結果、行政改革分野の政策提案と判定,歳出改革と行政の透明化を最優先課題として明記する行政改革提案,https://github.com/team-mirai/policy/pull/1844,
1843,医療政策の拡充：子どもの矯正歯科治療の保険適用に関する議論の開始,app/idobata-policy-app,2025年05月31日,OPEN,医療,README,PR内容を詳細分析した結果、医療分野の政策提案と判定,子どもの矯正歯科治療の保険適用に関する医療制度改革提案,https://github.com/team-mirai/policy/pull/1843,
1841,総合的な社会保障改革案「みんなで築く 未来への安心社会保障プラン」を追加,app/idobata-policy-app,2025年05月31日,OPEN,福祉,README,PR内容を詳細分析した結果、福祉分野の政策提案と判定,総合的な社会保障改革案「みんなで築く 未来への安心社会保障プラン」,https://github.com/team-mirai/policy/pull/1841,
1840,国会におけるデジタル機器活用推進と、それによる議論活性化の提案,app/idobata-policy-app,2025年05月31日,OPEN,デジタル民主主義,README,PR内容を詳細分析した結果、デジタル民主主義分野の政策提案と判定,国会におけるデジタル機器活用推進と議論活性化の提案,https://github.com/team-mirai/policy/pull/1840,
1834,憂国さんの提案：ステップ3に少子化対策の項目を追加,app/idobata-policy-app,2025年05月31日,OPEN,子育て,README,PR内容を詳細分析した結果、子育て分野の政策提案と判定,ステップ3に少子化対策の項目を追加する子育て支援政策,https://github.com/team-mirai/policy/pull/1834,
1831,マニフェスト改善提案：ステップ１に情報セキュリティ項目を追加,app/idobata-policy-app,2025年05月31日,OPEN,[システム],README,PR内容を詳細分析した結果、[システム]分野の政策提案と判定,ステップ１に情報セキュリティ項目を追加するシステム関連提案,https://github.com/team-mirai/policy/pull/1831,
1826,農業政策に関する提案,app/idobata-policy-app,2025年05月30日,OPEN,産業政策,README,PR内容を詳細分析した結果、産業政策分野の政策提案と判定,農業政策に関する産業振興提案,https://github.com/team-mirai/policy/pull/1826,
1822,政策を実現するために立法数、執行予算など「議員の通信簿」データベースを作る,app/idobata-policy-app,2025年05月30日,OPEN,デジタル民主主義,README,PR内容を詳細分析した結果、デジタル民主主義分野の政策提案と判定,議員の通信簿データベース作成による政治の透明化・情報公開提案,https://github.com/team-mirai/policy/pull/1822,
1820,システム、説明責任、熟議システム運用姿勢に関するマニフェスト改善提案（団鬼八さんより）,app/idobata-policy-app,2025年05月30日,OPEN,ビジョン,README,PR内容を詳細分析した結果、ビジョン分野の政策提案と判定,システム、説明責任、熟議システム運用姿勢に関するマニフェスト改善提案,https://github.com/team-mirai/policy/pull/1820,
1818,提案：生成AIを活用したレガシーITシステム刷新による産業競争力強化,app/idobata-policy-app,2025年05月30日,OPEN,産業政策,README,PR内容を詳細分析した結果、産業政策分野の政策提案と判定,生成AIを活用したレガシーITシステム刷新による産業競争力強化,https://github.com/team-mirai/policy/pull/1818,
1814,採用選考における差別的情報収集の制限と公正性の確保,app/idobata-policy-app,2025年05月30日,OPEN,産業政策,README,PR内容を詳細分析した結果、産業政策分野の政策提案と判定,採用選考における差別的情報収集の制限と公正性の確保に関する労働政策,https://github.com/team-mirai/policy/pull/1814,
1813,匿名ユーザーによる転売対策に関する提案の追記,app/idobata-policy-app,2025年05月30日,OPEN,その他政策,README,PR内容を詳細分析した結果、その他政策分野の政策提案と判定,転売対策に関する提案,https://github.com/team-mirai/policy/pull/1813,
1809,WIP: Changes for idobata-dgu4jo,app/idobata-policy-app,2025年05月29日,OPEN,[システム],README,PR内容を詳細分析した結果、[システム]分野の政策提案と判定,WIP: Changes for idobata-dgu4jo - システム関連の技術的修正,https://github.com/team-mirai/policy/pull/1809,
1808,マニフェスト冒頭に、革新的な政策アイデアを積極的に議論する姿勢を表明する一文を追加,app/idobata-policy-app,2025年05月29日,OPEN,ビジョン,README,PR内容を詳細分析した結果、ビジョン分野の政策提案と判定,革新的な政策アイデアを積極的に議論する姿勢を表明する基本方針,https://github.com/team-mirai/policy/pull/1808,
1801,システムトラブル発生時の対応と説明責任に関する項目の追加,app/idobata-policy-app,2025年05月29日,OPEN,[システム],README,PR内容を詳細分析した結果、[システム]分野の政策提案と判定,システムトラブル発生時の対応と説明責任に関するシステム運用提案,https://github.com/team-mirai/policy/pull/1801,
1791,提案：シミュレーション仮説の研究を通じたデジタル民主主義の深化,app/idobata-policy-app,2025年05月29日,OPEN,科学技術,README,PR内容を詳細分析した結果、科学技術分野の政策提案と判定,シミュレーション仮説の研究を通じたデジタル民主主義の深化に関する科学技術政策,https://github.com/team-mirai/policy/pull/1791,
1787,産業政策の強化：AI・ドローン活用と山間部農業振興について（阿井上夫氏提案）,app/idobata-policy-app,2025年05月29日,OPEN,産業政策,README,PR内容を詳細分析した結果、産業政策分野の政策提案と判定,AI・ドローン技術を活用した農業支援、山間部農業の高付加価値化など、農業分野の産業振興・経済活動支援に関する具体的な提案,https://github.com/team-mirai/policy/pull/1787,
1777,未来へつなぐ資産：贈与促進と相続税改革で若者支援と経済活性化,app/idobata-policy-app,2025年05月28日,OPEN,経済財政,README,PR内容を詳細分析した結果、経済財政分野の政策提案と判定,贈与税の非課税枠拡大、相続税の累進課税強化など、税制・財政政策に関する提案。若者支援と経済活性化を目的とした経済政策,https://github.com/team-mirai/policy/pull/1777,
1775,食と健康に関する視点を追加し、国民のQOL向上を目指す提案,app/idobata-policy-app,2025年05月28日,OPEN,医療,README,PR内容を詳細分析した結果、医療分野の政策提案と判定,食を通じた健康増進、予防医療の推進、QOL向上など、健康政策・医療制度に関する提案。オーガニック食品による健康維持・増進,https://github.com/team-mirai/policy/pull/1775,
1774,ステップ1およびステップ2の目次に社会保障制度の項目追加 (川村 正春さん提案),app/idobata-policy-app,2025年05月28日,OPEN,福祉,README,PR内容を詳細分析した結果、福祉分野の政策提案と判定,社会保障制度（年金、医療、介護、子育て支援、生活困窮者支援など）に関する項目追加。社会保障・高齢者支援分野の政策提案,https://github.com/team-mirai/policy/pull/1774,
1771,目次に「社会保障制度」の項目を追加,app/idobata-policy-app,2025年05月28日,OPEN,福祉,README,PR内容を詳細分析した結果、福祉分野の政策提案と判定,社会保障制度の項目追加。年金、医療、介護、子育て支援、生活困窮者支援などを含む社会保障分野の政策提案,https://github.com/team-mirai/policy/pull/1771,
1765,たしさん提案：いどばたエキスパート（仮称）の導入,app/idobata-policy-app,2025年05月28日,OPEN,デジタル民主主義,README,PR内容を詳細分析した結果、デジタル民主主義分野の政策提案と判定,デジタル技術を活用した政策形成プロセス、専門家と市民の議論の場の設置など、デジタル民主主義に関する提案,https://github.com/team-mirai/policy/pull/1765,
1762,SNS運用方針の追加と透明性向上,app/idobata-policy-app,2025年05月28日,OPEN,デジタル民主主義,README,PR内容を詳細分析した結果、デジタル民主主義分野の政策提案と判定,SNS運用の透明性、デジタル技術を活用した情報発信・コミュニケーションに関する提案,https://github.com/team-mirai/policy/pull/1762,
1757,【生涯所得課税の提案】たしさんより、経済財政分野への新たな税制案,app/idobata-policy-app,2025年05月28日,OPEN,経済財政,README,PR内容を詳細分析した結果、経済財政分野の政策提案と判定,生涯所得課税という税制改革、経済政策・財政政策に関する提案。所得変動に対する公平な課税制度の導入,https://github.com/team-mirai/policy/pull/1757,
1755,意思決定プロセスの透明性向上：議論過程・決定の瞬間の公開を明記,app/idobata-policy-app,2025年05月28日,OPEN,デジタル民主主義,README,PR内容を詳細分析した結果、デジタル民主主義分野の政策提案と判定,意思決定プロセスの透明化、民主的な運営、オープンな議論に関する提案。デジタル民主主義の理念に関する内容,https://github.com/team-mirai/policy/pull/1755,
1752,報道の自動イシュー化,app/idobata-policy-app,2025年05月27日,OPEN,デジタル民主主義,README,PR内容を詳細分析した結果、デジタル民主主義分野の政策提案と判定,AI技術を活用した社会課題の自動抽出、議論のきっかけ作り、デジタル技術による民主主義の発展に関する提案,https://github.com/team-mirai/policy/pull/1752,
1750,冒頭挨拶文の改善による利用ハードルの低減（提案者：ミルクレープさん）,app/idobata-policy-app,2025年05月27日,OPEN,ビジョン,README,PR内容を詳細分析した結果、ビジョン分野の政策提案と判定,マニフェスト全体の利用体験改善、参加促進に関する基本方針の改善。UI/UXの改善により多様な意見を取り入れる仕組みづくりに関する内容,https://github.com/team-mirai/policy/pull/1750,
