バッチ番号,PR番号,タイトル,作成日,作成者,URL
バッチ2,6154,観光政策の新規提案：オーバーツーリズム対策と持続可能な観光モデルの構築,2025-07-13T12:27:57Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6154
バッチ2,6152,よんさまからのご提案：AI活用の原則強化とデジタル民主主義の具体化について,2025-07-13T12:21:58Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6152
バッチ2,6150,淳様ご提案：AI活用における人間の責任と専門性維持の原則を追記,2025-07-13T12:20:52Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6150
バッチ2,6148,（豊田様ご提案）養育費の不払い問題に関する政策を追加,2025-07-13T12:11:36Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6148
バッチ2,6146,「政治改革」に関する改善提案,2025-07-13T12:08:33Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6146
バッチ2,6143,公共施設を多機能拠点として整備する提案,2025-07-13T11:56:19Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6143
バッチ2,6142,政策の柱として「多様な家族のあり方を支える法整備」を新たに追加,2025-07-13T11:54:47Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6142
バッチ2,6139,ふくとさんによる「持続可能な都市政策」の改善提案,2025-07-13T11:48:01Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6139
バッチ2,6135,2拠点生活など新しいライフスタイルを支援するアイデアを追記,2025-07-13T11:42:27Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6135
バッチ2,6128,【匿名ユーザーさんによる改善提案】個人の納税実績を活用した信用創造の提案,2025-07-13T10:59:55Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6128
バッチ2,6124,ネット上の私的制裁の根絶と人権保障のための提言,2025-07-13T10:48:19Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6124
バッチ2,6121,ネット投票における「投票の上書き機能」の原則を追記,2025-07-13T10:25:55Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6121
バッチ2,6118,子育て支援のあり方を見直し、所得制限の撤廃と一律給付の導入を提案,2025-07-13T10:15:37Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6118
