PR番号,タイトル,作成者,作成日,ステータス,政策分野（新ラベル）,旧ラベル,分類理由,分析メモ,URL,説明（200文字まで）
5822,福祉分野の政策に、性犯罪の根絶を目指す新たな項目を追加,app/idobata-policy-app,2025-07-12T13:39:15Z,OPEN,福祉,README,福祉分野の政策文書に性犯罪対策（被害者支援・再犯防止・意識改革）を追加する内容,claude-p分類: 2025-07-15,https://github.com/team-mirai/policy/pull/5822,福祉分野の政策に、性犯罪の根絶を目指す新たな項目を追加
5817,提案：デジタル民主主義に「世代間の声の不均衡を是正する仕組み」を追加,app/idobata-policy-app,2025-07-12T13:24:58Z,OPEN,デジタル民主主義,README,世代間の票の価値補正と選挙掲示板のデジタル化という民主主義プロセスのデジタル改革提案,claude-p分類: 2025-07-15,https://github.com/team-mirai/policy/pull/5817,提案：デジタル民主主義に「世代間の声の不均衡を是正する仕組み」を追加
5816,改善提案：子どもの安全を守るための新しい政策項目を追加,app/idobata-policy-app,2025-07-12T13:24:36Z,OPEN,子育て,README,子どもを性犯罪から守るための新政策項目「子どもの安全」をマニフェストに追加する内容で、子どもの保護に関する政策であるため,claude-p分類: 2025-07-15,https://github.com/team-mirai/policy/pull/5816,改善提案：子どもの安全を守るための新しい政策項目を追加
5813,性犯罪・性暴力の根絶と被害者保護の徹底を求める提案,app/idobata-policy-app,2025-07-12T13:13:14Z,OPEN,その他政策,README,性犯罪・性暴力対策と被害者保護は治安・司法・人権に関する政策で、既存の11分野に直接該当しない,claude-p分類: 2025-07-15,https://github.com/team-mirai/policy/pull/5813,性犯罪・性暴力の根絶と被害者保護の徹底を求める提案
5799,支援のあり方に関する基本原則の追加,app/idobata-policy-app,2025-07-12T12:24:15Z,OPEN,福祉,README,生活保護制度の見直しと個々の状況に応じた支援体制の構築に関する基本原則の追加,claude-p分類: 2025-07-15,https://github.com/team-mirai/policy/pull/5799,支援のあり方に関する基本原則の追加
5798,すぎやまさんによる「コンテンツ産業と表現の自由」に関する改善提案,app/idobata-policy-app,2025-07-12T12:22:40Z,OPEN,産業政策,README,コンテンツ産業の振興と表現の自由を守ることで産業成長を促進する政策提案,claude-p分類: 2025-07-15,https://github.com/team-mirai/policy/pull/5798,すぎやまさんによる「コンテンツ産業と表現の自由」に関する改善提案
5797,国民の安全を守るための性犯罪対策強化,app/idobata-policy-app,2025-07-12T12:22:23Z,OPEN,その他政策,README,性犯罪対策・治安強化は既存の11分野に該当しない安全・司法分野の政策のため,claude-p分類: 2025-07-15,https://github.com/team-mirai/policy/pull/5797,国民の安全を守るための性犯罪対策強化
5796,政策提案：老老介護におけるコミュニケーション支援の具体例を追記,app/idobata-policy-app,2025-07-12T12:20:12Z,OPEN,福祉,README,老老介護問題への対応として専門相談員配置による高齢者支援策を提案,claude-p分類: 2025-07-15,https://github.com/team-mirai/policy/pull/5796,政策提案：老老介護におけるコミュニケーション支援の具体例を追記
5793,国民との対話の改革案：提案対応の遅延に対するお詫びと具体的な改善策の明記,app/idobata-policy-app,2025-07-12T12:14:39Z,OPEN,デジタル民主主義,README,国民からの提案への対応改善と参加型政治の実現に関する改革案であるため,claude-p分類: 2025-07-15,https://github.com/team-mirai/policy/pull/5793,国民との対話の改革案：提案対応の遅延に対するお詫びと具体的な改善策の明記
5785,「チームみらいについて」の記述を改善し、デジタル化への姿勢を明確化,app/idobata-policy-app,2025-07-12T11:56:44Z,OPEN,[システム],README,README.mdの「チームみらいについて」セクションの紹介文を改善する内容のため,claude-p分類: 2025-07-15,https://github.com/team-mirai/policy/pull/5785,「チームみらいについて」の記述を改善し、デジタル化への姿勢を明確化
5774,【太一郎提案】提案への迅速な応答を義務付け、チームみらいの不誠実な対応を是正,app/idobata-policy-app,2025-07-12T10:54:35Z,OPEN,デジタル民主主義,README,市民からの政策提案への迅速な応答を義務付けることで、透明性と市民参加を促進する提案,claude-p分類: 2025-07-15,https://github.com/team-mirai/policy/pull/5774,【太一郎提案】提案への迅速な応答を義務付け、チームみらいの不誠実な対応を是正
5772,教育におけるデジタルと従来手法の最適な組み合わせを求める方針の追加,app/idobata-policy-app,2025-07-12T10:52:04Z,OPEN,教育,README,デジタル技術と手書きなど従来の教育手法の最適な組み合わせを追求する教育政策方針の追加,claude-p分類: 2025-07-15,https://github.com/team-mirai/policy/pull/5772,教育におけるデジタルと従来手法の最適な組み合わせを求める方針の追加
5771,【匿名ユーザーさんによる改善提案】国際宇宙港（スペースポート）構想の追加,app/idobata-policy-app,2025-07-12T10:51:09Z,OPEN,産業政策,README,国際宇宙港構想により宇宙産業の競争力強化と関連産業エコシステム構築を目指す産業振興政策,claude-p分類: 2025-07-15,https://github.com/team-mirai/policy/pull/5771,【匿名ユーザーさんによる改善提案】国際宇宙港（スペースポート）構想の追加
5770,政策提案：障害者支援における多角的な負担決定プロセスの導入,app/idobata-policy-app,2025-07-12T10:43:37Z,OPEN,福祉,README,障害者支援における医療費負担の決定プロセスに多角的視点を導入する政策提案のため,claude-p分類: 2025-07-15,https://github.com/team-mirai/policy/pull/5770,政策提案：障害者支援における多角的な負担決定プロセスの導入
