PR番号,タイトル,作成者,作成日,ステータス,政策分野（新ラベル）,旧ラベル,分類理由,分析メモ,URL,説明（200文字まで）
5822,福祉分野の政策に、性犯罪の根絶を目指す新たな項目を追加,app/idobata-policy-app,2025-07-12T13:39:15Z,OPEN,その他政策,README,性犯罪の根絶に関する司法・治安政策,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/5822,福祉分野の政策に、性犯罪の根絶を目指す新たな項目を追加
5817,提案：デジタル民主主義に「世代間の声の不均衡を是正する仕組み」を追加,app/idobata-policy-app,2025-07-12T13:24:58Z,OPEN,デジタル民主主義,README,世代間の声の不均衡を是正する民主主義の仕組み,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/5817,提案：デジタル民主主義に「世代間の声の不均衡を是正する仕組み」を追加
5816,改善提案：子どもの安全を守るための新しい政策項目を追加,app/idobata-policy-app,2025-07-12T13:24:36Z,OPEN,子育て,README,子どもの安全を守るための政策,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/5816,改善提案：子どもの安全を守るための新しい政策項目を追加
5813,性犯罪・性暴力の根絶と被害者保護の徹底を求める提案,app/idobata-policy-app,2025-07-12T13:13:14Z,OPEN,その他政策,README,性犯罪・性暴力の根絶と被害者保護（司法・治安）,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/5813,性犯罪・性暴力の根絶と被害者保護の徹底を求める提案
5799,支援のあり方に関する基本原則の追加,app/idobata-policy-app,2025-07-12T12:24:15Z,OPEN,ビジョン,README,支援のあり方に関する基本原則の追加,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/5799,支援のあり方に関する基本原則の追加
5798,すぎやまさんによる「コンテンツ産業と表現の自由」に関する改善提案,app/idobata-policy-app,2025-07-12T12:22:40Z,OPEN,その他政策,README,コンテンツ産業と表現の自由に関する政策,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/5798,すぎやまさんによる「コンテンツ産業と表現の自由」に関する改善提案
5797,国民の安全を守るための性犯罪対策強化,app/idobata-policy-app,2025-07-12T12:22:23Z,OPEN,その他政策,README,性犯罪対策強化（司法・治安）,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/5797,国民の安全を守るための性犯罪対策強化
5796,政策提案：老老介護におけるコミュニケーション支援の具体例を追記,app/idobata-policy-app,2025-07-12T12:20:12Z,OPEN,福祉,README,老老介護におけるコミュニケーション支援,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/5796,政策提案：老老介護におけるコミュニケーション支援の具体例を追記
5793,国民との対話の改革案：提案対応の遅延に対するお詫びと具体的な改善策の明記,app/idobata-policy-app,2025-07-12T12:14:39Z,OPEN,デジタル民主主義,README,国民との対話の改革と透明性向上,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/5793,国民との対話の改革案：提案対応の遅延に対するお詫びと具体的な改善策の明記
5785,「チームみらいについて」の記述を改善し、デジタル化への姿勢を明確化,app/idobata-policy-app,2025-07-12T11:56:44Z,OPEN,['システム'],README,「チームみらいについて」の記述改善,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/5785,「チームみらいについて」の記述を改善し、デジタル化への姿勢を明確化
