PR番号,タイトル,作成者,作成日,ステータス,政策分野（新ラベル）,旧ラベル,分類理由,分析メモ,URL,説明（200文字まで）
6215,マニフェストの基本方針の明確化と誤字の修正,app/idobata-policy-app,2025-07-13T15:06:20Z,OPEN,[システム],README,タイトル「マニフェストの基本方針の明確化と誤字の修正」と内容から[システム]に分類,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/6215,マニフェストの基本方針の明確化と誤字の修正
6213,提案：チームみらいの基本姿勢にSOGIに関する記述を追加,app/idobata-policy-app,2025-07-13T14:59:49Z,OPEN,ビジョン,README,タイトル「チームみらいの基本姿勢にSOGIに関する記述を追加」と内容からビジョンに分類,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/6213,提案：チームみらいの基本姿勢にSOGIに関する記述を追加
6210,選挙の参加しやすさと公平性を高めるための包括的提案,app/idobata-policy-app,2025-07-13T14:53:05Z,OPEN,デジタル民主主義,README,インターネット投票と選挙制度の改善に関する提案,自動分類後に手動修正: 2025-07-14,https://github.com/team-mirai/policy/pull/6210,選挙の参加しやすさと公平性を高めるための包括的提案
6207,雪さん提案：性犯罪対策の強化,app/idobata-policy-app,2025-07-13T14:35:23Z,OPEN,その他政策,README,性犯罪対策は司法・治安分野に該当,自動分類後に手動修正: 2025-07-14,https://github.com/team-mirai/policy/pull/6207,雪さん提案：性犯罪対策の強化
6206,【みらいのくささん提案】3人目の壁を壊す、企業と本人への手厚い子育て支援,app/idobata-policy-app,2025-07-13T14:33:59Z,OPEN,子育て,README,タイトル「3人目の壁を壊す、企業と本人への手厚い子育て支援」と内容から子育てに分類,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/6206,【みらいのくささん提案】3人目の壁を壊す、企業と本人への手厚い子育て支援
6201,匿名ユーザーからの提案：義務投票制と第三者機関による選挙公報の導入,app/idobata-policy-app,2025-07-13T14:20:26Z,OPEN,デジタル民主主義,README,義務投票制と選挙制度改革に関する提案,自動分類後に手動修正: 2025-07-14,https://github.com/team-mirai/policy/pull/6201,匿名ユーザーからの提案：義務投票制と第三者機関による選挙公報の導入
6200,国連サイバー犯罪条約に関する懸念と表現の自由の擁護,app/idobata-policy-app,2025-07-13T14:20:07Z,OPEN,その他政策,README,サイバー犯罪条約は国際条約・セキュリティ分野,自動分類後に手動修正: 2025-07-14,https://github.com/team-mirai/policy/pull/6200,国連サイバー犯罪条約に関する懸念と表現の自由の擁護
6195,匿名ユーザーによるマニフェスト改善提案：養育費と性犯罪対策の強化,app/idobata-policy-app,2025-07-13T14:06:03Z,OPEN,子育て,README,養育費に関する提案が含まれているため,自動分類後に手動修正: 2025-07-14,https://github.com/team-mirai/policy/pull/6195,匿名ユーザーによるマニフェスト改善提案：養育費と性犯罪対策の強化
6194,憲法9条と自衛隊のあり方に関する方針の明確化（すももさん提案）,app/idobata-policy-app,2025-07-13T14:03:22Z,OPEN,その他政策,README,憲法9条と自衛隊は防衛・安全保障分野,自動分類後に手動修正: 2025-07-14,https://github.com/team-mirai/policy/pull/6194,憲法9条と自衛隊のあり方に関する方針の明確化（すももさん提案）
6192,「多様な家族のあり方を尊重する」という視点を追加する提案,app/idobata-policy-app,2025-07-13T13:57:21Z,OPEN,ビジョン,README,多様な家族のあり方は基本理念に関わる,自動分類後に手動修正: 2025-07-14,https://github.com/team-mirai/policy/pull/6192,「多様な家族のあり方を尊重する」という視点を追加する提案
