PR番号,タイトル,作成者,作成日,ステータス,URL
5822,福祉分野の政策に、性犯罪の根絶を目指す新たな項目を追加,app/idobata-policy-app,2025-07-12T13:39:15Z,OPEN,https://github.com/team-mirai/policy/pull/5822
5817,提案：デジタル民主主義に「世代間の声の不均衡を是正する仕組み」を追加,app/idobata-policy-app,2025-07-12T13:24:58Z,OPEN,https://github.com/team-mirai/policy/pull/5817
5816,改善提案：子どもの安全を守るための新しい政策項目を追加,app/idobata-policy-app,2025-07-12T13:24:36Z,OPEN,https://github.com/team-mirai/policy/pull/5816
5813,性犯罪・性暴力の根絶と被害者保護の徹底を求める提案,app/idobata-policy-app,2025-07-12T13:13:14Z,OPEN,https://github.com/team-mirai/policy/pull/5813
5799,支援のあり方に関する基本原則の追加,app/idobata-policy-app,2025-07-12T12:24:15Z,OPEN,https://github.com/team-mirai/policy/pull/5799
5798,すぎやまさんによる「コンテンツ産業と表現の自由」に関する改善提案,app/idobata-policy-app,2025-07-12T12:22:40Z,OPEN,https://github.com/team-mirai/policy/pull/5798
5797,国民の安全を守るための性犯罪対策強化,app/idobata-policy-app,2025-07-12T12:22:23Z,OPEN,https://github.com/team-mirai/policy/pull/5797
5796,政策提案：老老介護におけるコミュニケーション支援の具体例を追記,app/idobata-policy-app,2025-07-12T12:20:12Z,OPEN,https://github.com/team-mirai/policy/pull/5796
5793,国民との対話の改革案：提案対応の遅延に対するお詫びと具体的な改善策の明記,app/idobata-policy-app,2025-07-12T12:14:39Z,OPEN,https://github.com/team-mirai/policy/pull/5793
5785,「チームみらいについて」の記述を改善し、デジタル化への姿勢を明確化,app/idobata-policy-app,2025-07-12T11:56:44Z,OPEN,https://github.com/team-mirai/policy/pull/5785
5774,【太一郎提案】提案への迅速な応答を義務付け、チームみらいの不誠実な対応を是正,app/idobata-policy-app,2025-07-12T10:54:35Z,OPEN,https://github.com/team-mirai/policy/pull/5774
5772,教育におけるデジタルと従来手法の最適な組み合わせを求める方針の追加,app/idobata-policy-app,2025-07-12T10:52:04Z,OPEN,https://github.com/team-mirai/policy/pull/5772
5771,【匿名ユーザーさんによる改善提案】国際宇宙港（スペースポート）構想の追加,app/idobata-policy-app,2025-07-12T10:51:09Z,OPEN,https://github.com/team-mirai/policy/pull/5771
5770,政策提案：障害者支援における多角的な負担決定プロセスの導入,app/idobata-policy-app,2025-07-12T10:43:37Z,OPEN,https://github.com/team-mirai/policy/pull/5770
5767,同性婚の法制化をマニフェストに明記する提案,app/idobata-policy-app,2025-07-12T10:25:50Z,OPEN,https://github.com/team-mirai/policy/pull/5767
5766,マニフェストの基本理念の明確化,app/idobata-policy-app,2025-07-12T10:13:39Z,OPEN,https://github.com/team-mirai/policy/pull/5766
