PR番号,タイトル,作成者,作成日,ステータス,政策分野（新ラベル）,旧ラベル,分類理由,分析メモ,URL,説明（200文字まで）
5364,受動喫煙防止対策強化のご提案,app/idobata-policy-app,2025-07-11T04:35:36Z,OPEN,医療,README,受動喫煙防止対策の強化と禁煙支援を通じた国民の健康保護を目的とした政策提案,claude-p分類: 2025-07-15,https://github.com/team-mirai/policy/pull/5364,受動喫煙防止対策強化のご提案
5363,【みえさん提案】フリーランス・クリエイター支援策の具体化,app/idobata-policy-app,2025-07-11T04:30:50Z,OPEN,産業政策,README,フリーランス・クリエイターの労働環境改善と報酬適正化に関する雇用政策,claude-p分類: 2025-07-15,https://github.com/team-mirai/policy/pull/5363,【みえさん提案】フリーランス・クリエイター支援策の具体化
5361,総合的な社会制度改革の提案：被害者支援、入国管理、国土安全保障の強化,app/idobata-policy-app,2025-07-11T04:27:30Z,OPEN,その他政策,README,犯罪被害者支援、入国管理、安全保障という複数の異なる政策分野にまたがる総合的な社会制度改革の提案のため,claude-p分類: 2025-07-15,https://github.com/team-mirai/policy/pull/5361,総合的な社会制度改革の提案：被害者支援、入国管理、国土安全保障の強化
5360,「多様性の尊重」に関する項目を追加,app/idobata-policy-app,2025-07-11T04:23:17Z,OPEN,その他政策,README,選択的夫婦別姓、同性婚、LGBTQ・障害者・外国人への差別禁止など、人権・多様性に関する政策で既存分野に該当しないため,claude-p分類: 2025-07-15,https://github.com/team-mirai/policy/pull/5360,「多様性の尊重」に関する項目を追加
5359,【ながたさん提案】子どもへの性犯罪防止策の強化,app/idobata-policy-app,2025-07-11T04:21:45Z,OPEN,子育て,README,子どもを性犯罪から守るための包括的な保護政策で、子どもの安全確保が主目的,claude-p分類: 2025-07-15,https://github.com/team-mirai/policy/pull/5359,【ながたさん提案】子どもへの性犯罪防止策の強化
5358,「地方の福利厚生賃貸」と「地方大学研究CF」による少子化対策と経済成長の新提案,app/idobata-policy-app,2025-07-11T04:15:02Z,OPEN,子育て,README,少子化対策として地方の若者の経済的安定を図る福利厚生賃貸制度と、経済成長を支える大学研究支援の2つの提案,claude-p分類: 2025-07-15,https://github.com/team-mirai/policy/pull/5358,「地方の福利厚生賃貸」と「地方大学研究CF」による少子化対策と経済成長の新提案
5355,変更提案プロセスの透明性向上について,app/idobata-policy-app,2025-07-11T04:07:40Z,OPEN,デジタル民主主義,README,変更提案プロセスの透明化と進捗状況の見える化により、市民参加型政治の透明性を向上させる提案のため,claude-p分類: 2025-07-15,https://github.com/team-mirai/policy/pull/5355,変更提案プロセスの透明性向上について
5352,特別支援教育に関する記述の追加,app/idobata-policy-app,2025-07-11T04:01:33Z,OPEN,教育,README,特別支援教育における支援級と通級の併用制度改善に関する提案のため,claude-p分類: 2025-07-15,https://github.com/team-mirai/policy/pull/5352,特別支援教育に関する記述の追加
5349,気候変動の項目追加の提案,app/idobata-policy-app,2025-07-11T03:41:13Z,OPEN,エネルギー,README,気候変動対策をマニフェストに追加する提案で、環境政策はエネルギー分野に含まれるため,claude-p分類: 2025-07-15,https://github.com/team-mirai/policy/pull/5349,気候変動の項目追加の提案
5344,デジタル化における情報アクセスの選択肢確保に関する提案,app/idobata-policy-app,2025-07-11T03:03:00Z,OPEN,行政改革,README,デジタル化推進において紙媒体等の選択肢も確保し、誰もが情報にアクセスできる行政サービスの改善を提案,claude-p分類: 2025-07-15,https://github.com/team-mirai/policy/pull/5344,デジタル化における情報アクセスの選択肢確保に関する提案
5342,【みかんさんからのご提案】「働き方」に関する政策の改善,app/idobata-policy-app,2025-07-11T02:59:31Z,OPEN,産業政策,README,みなし残業制度の適正化とリモートワーク拡充による働き方改革の提案であり、雇用・労働政策に該当,claude-p分類: 2025-07-15,https://github.com/team-mirai/policy/pull/5342,【みかんさんからのご提案】「働き方」に関する政策の改善
5337,子育ての貢献に報いる社会を目指す決意をマニフェストに追加,app/idobata-policy-app,2025-07-11T02:42:31Z,OPEN,子育て,README,子育ての社会的価値を正当に評価し、経済的支援やキャリア支援を通じて報いる制度構築を目指す政策提案,claude-p分類: 2025-07-15,https://github.com/team-mirai/policy/pull/5337,子育ての貢献に報いる社会を目指す決意をマニフェストに追加
5336,【みかんさん提案】子どもを性犯罪から守るための新政策を追加,app/idobata-policy-app,2025-07-11T02:40:20Z,OPEN,子育て,README,子どもを性犯罪から守るための政策提案で、子育て環境の安全確保に焦点を当てている,claude-p分類: 2025-07-15,https://github.com/team-mirai/policy/pull/5336,【みかんさん提案】子どもを性犯罪から守るための新政策を追加
5335,やえさん発案：政策原則の強化（データ活用・公正な徴税・子ども中心支援）,app/idobata-policy-app,2025-07-11T02:38:41Z,OPEN,ビジョン,README,マニフェストの根幹をなす基本原則（データに基づく政策決定、公正な徴税、子ども中心の支援）を大幅に強化する内容,claude-p分類: 2025-07-15,https://github.com/team-mirai/policy/pull/5335,やえさん発案：政策原則の強化（データ活用・公正な徴税・子ども中心支援）
5334,【つおるあさん提案】「注意事項」に政治の安定性に関する項目を追加,app/idobata-policy-app,2025-07-11T02:30:48Z,OPEN,ビジョン,README,政治改革における基本姿勢として「安定性のための安全装置」を尊重する理念を明文化,claude-p分類: 2025-07-15,https://github.com/team-mirai/policy/pull/5334,【つおるあさん提案】「注意事項」に政治の安定性に関する項目を追加
5333,専門知見の活用と情報格差是正による、より開かれた政策議論の推進,app/idobata-policy-app,2025-07-11T02:14:59Z,OPEN,デジタル民主主義,README,専門家の知見公開による透明性向上と、デジタル・アナログ両方の手段を用いた幅広い市民参加の促進に関する提案,claude-p分類: 2025-07-15,https://github.com/team-mirai/policy/pull/5333,専門知見の活用と情報格差是正による、より開かれた政策議論の推進
5331,Kayさんによる抜本提案：未来志向の税制度（国民貢献税、国民生活投資など）,app/idobata-policy-app,2025-07-11T01:58:42Z,OPEN,経済財政,README,税制改革（国民貢献税）、国債活用、財源確保など税制・財政政策の抜本的改革提案,claude-p分類: 2025-07-15,https://github.com/team-mirai/policy/pull/5331,Kayさんによる抜本提案：未来志向の税制度（国民貢献税、国民生活投資など）
5326,「安定的な皇位継承について」の項目追加,app/idobata-policy-app,2025-07-11T01:36:28Z,OPEN,その他政策,README,皇室制度・皇位継承に関する政策で、既存の11政策分野に該当しない特殊な政策領域のため,claude-p分類: 2025-07-15,https://github.com/team-mirai/policy/pull/5326,「安定的な皇位継承について」の項目追加
5325,男子HPVワクチン接種の公費助成を提案します,app/idobata-policy-app,2025-07-11T01:34:41Z,OPEN,医療,README,HPVワクチンの男子への公費助成拡大という予防医療・公衆衛生政策の提案,claude-p分類: 2025-07-15,https://github.com/team-mirai/policy/pull/5325,男子HPVワクチン接種の公費助成を提案します
5322,デジタル民主主義の具体化：電子投票の導入による、誰でも参加しやすい選挙の実現,app/idobata-policy-app,2025-07-11T01:17:50Z,OPEN,デジタル民主主義,README,電子投票の導入により透明性と市民参加を促進する選挙制度のデジタル化提案,claude-p分類: 2025-07-15,https://github.com/team-mirai/policy/pull/5322,デジタル民主主義の具体化：電子投票の導入による、誰でも参加しやすい選挙の実現
5321,外国人受け入れと外交・安全保障に関する基本方針の追加提案,app/idobata-policy-app,2025-07-11T01:07:26Z,OPEN,ビジョン,README,外国人受け入れ、外交・安全保障、憲法改正に関する基本方針を追加し、政治理念と国家の方向性を明確化,claude-p分類: 2025-07-15,https://github.com/team-mirai/policy/pull/5321,外国人受け入れと外交・安全保障に関する基本方針の追加提案
5313,マニフェスト改善の提案：「すべての世代が再チャレンジできる社会へ」の項目追加,app/idobata-policy-app,2025-07-11T00:26:51Z,OPEN,産業政策,README,就職氷河期世代の雇用安定化と正規雇用転換を中心とした労働政策の提案,claude-p分類: 2025-07-15,https://github.com/team-mirai/policy/pull/5313,マニフェスト改善の提案：「すべての世代が再チャレンジできる社会へ」の項目追加
5307,（京子さん提案）技能実習制度の見直しに関する記述の追加,app/idobata-policy-app,2025-07-10T23:58:27Z,OPEN,産業政策,README,技能実習制度は外国人労働者の受け入れ・雇用に関する制度改革であり、労働政策の一環であるため,claude-p分類: 2025-07-15,https://github.com/team-mirai/policy/pull/5307,（京子さん提案）技能実習制度の見直しに関する記述の追加
5305,産業政策：企業のバックオフィス業務の抜本的な効率化による生産性向上,app/idobata-policy-app,2025-07-10T23:39:21Z,OPEN,産業政策,README,企業のバックオフィス業務効率化による産業全体の生産性向上を目的とした政策提案,claude-p分類: 2025-07-15,https://github.com/team-mirai/policy/pull/5305,産業政策：企業のバックオフィス業務の抜本的な効率化による生産性向上
5304,コロナ後遺症に苦しむ方への支援策を追加,app/idobata-policy-app,2025-07-10T23:32:40Z,OPEN,福祉,README,コロナ後遺症患者への生活支援、社会保障制度の拡充、社会復帰支援など包括的な福祉支援策を提案,claude-p分類: 2025-07-15,https://github.com/team-mirai/policy/pull/5304,コロナ後遺症に苦しむ方への支援策を追加
5301,有機農業推進のためのオープンデータPF構築の提案,app/idobata-policy-app,2025-07-10T23:22:45Z,OPEN,産業政策,README,有機農業の振興と生産者支援を目的としたオープンデータプラットフォーム構築の提案であるため,claude-p分類: 2025-07-15,https://github.com/team-mirai/policy/pull/5301,有機農業推進のためのオープンデータPF構築の提案
