PR番号,タイトル,作成者,作成日,ステータス,政策分野（新ラベル）,旧ラベル,分類理由,分析メモ,URL,説明（200文字まで）
4326,AI活用と少数意見の尊重に関する原則を明確化,app/idobata-policy-app,2025-07-07,OPEN,科学技術,README,AI・人工知能技術の活用・規制,AI技術活用,https://github.com/team-mirai/policy/pull/4326,本提案は、寺田さんとの議論に基づき、マニフェestoの「AIの活用と責任についての明確な原則」をより明確化し、テクノロジーの活用が少数意見や社会的弱者の声を尊重する形で進められることを保証するために行われました。  当初、寺田さんからは「テクノロジーの活用によって、社会的弱者など声の小さい方々の意見が拾われにくくなるのではないか」という重要な懸念が示されました。この懸念は、デジタル民主主義を進める...
4320,【だいきさん提案】移民政策の新たな指針：文化と制度の強靭化による国家像の明確化,app/idobata-policy-app,2025-07-07,OPEN,その他政策,README,移民・外国人政策は既存分野に属さない,移民外国人政策,https://github.com/team-mirai/policy/pull/4320,## 提案者  だいき  ## 提案の概要  本提案は、日本の移民政策に関する新たな指針をマニフェストに追加するものです。従来の「外国人排除」という二元論的な捉え方から脱却し、**「文化的な同質性」と「制度の強靭化」**という観点から、より現実的で建設的な国家像を提示します。  具体的には、日本の伝統的な制度である戸籍をブロックチェーン技術で補強し、アイデンティティの基盤を強化します。その上で、出...
4317,【渥美クライマックス様ご提案】高額療養費制度の改善：複数医療機関にかかる医療費の合算,app/idobata-policy-app,2025-07-07,OPEN,医療,README,医療制度・健康政策に関する提案,医療制度改善,https://github.com/team-mirai/policy/pull/4317,本改善案は、ユーザーである渥美クライマックス様との対話を通じて、「高額療養費制度」のあり方について検討し、その改善点をマニフェストに盛り込むことを目的としています。  **提案の背景と課題**  現行の高額療養費制度は、個々の医療機関での支払いに基づいて自己負担上限額が計算されます。しかし、渥美クライマックス様ご自身の経験からも明らかになったように、複数の病気を抱え、異なる医療機関で同時に治療を受...
4312,【ばさん提案】産後の母親への歯科医療支援の実現,app/idobata-policy-app,2025-07-07,OPEN,医療,README,医療制度・健康政策に関する提案,医療制度改善,https://github.com/team-mirai/policy/pull/4312,## 提案者 ばさん  ## 提案の概要 この度の提案は、チームみらいのマニフェスト「ステップ１：子育て」の項目に、「産後の母親への歯科医療支援の実現」を新たに追加するものです。これは、出産という大きなライフイベントを経た女性が直面する深刻な健康問題、特に口腔内の問題に焦点を当て、その負担を社会全体で軽減することを目的としています。具体的には、産後10年以内の女性を対象とし、虫歯や歯周病といった一...
4303,住宅政策の追加,app/idobata-policy-app,2025-07-07,OPEN,その他政策,README,既存の政策分野に分類困難,要詳細確認,https://github.com/team-mirai/policy/pull/4303,この変更は、匿名ユーザー様との対話から生まれた提案です。現在のマニフェストには、多くの人々、特に都市部で働く人々にとって深刻な問題である「住宅」に関する明確な政策がありませんでした。都心部、とりわけ東京圏における不動産価格の異常な高騰は、もはや個人の努力で解決できる範囲を超えています。この価格高騰は、実際にそこに住み、働く人々の需要（実需）と大きくかけ離れており、その主な要因として、投機目的での不...
4299,医療分野の改善提案：医師の待遇改善による国民皆保険制度の持続可能性向上,app/idobata-policy-app,2025-07-07,OPEN,医療,README,医療制度・健康政策に関する提案,医療制度改善,https://github.com/team-mirai/policy/pull/4299,この改善提案は、「匿名ユーザー」との対話を通じて、日本の医療が直面する喫緊の課題に対処するために作成されました。  ### 提案の背景と目的  現在、日本の医療現場では、多くの医師が保険診療を中心とした医療機関から、美容医療などの自由診療分野へと流出する傾向が指摘されています。この現象は、国民皆保険制度の根干を揺るしかねない深刻な問題です。特に、外科や麻酔科といった、国民の生命と健康を守る上で必要...
4296,クロサワさんによる社会インフラを支える人材に関する政策提案,app/idobata-policy-app,2025-07-07,OPEN,その他政策,README,既存の政策分野に分類困難,要詳細確認,https://github.com/team-mirai/policy/pull/4296,本提案は、クロサワさんからの「社会インフラを支えるブルーワーカーの労働環境を改善し、若者にとって魅力的な仕事にすべき」というご問題提起から始まりました。現在、３K（きつい、汚い、危険）と呼ばれる労働環境や給与水準の低さから、特に若者の労働人口が減少し、技術継承が大きな課題となっています。国の重要インフラを国内の人材で安定的に支えることは、国の安全保障にも関わる重要なテーマです。この提案では、給与の...
4290,多様な生き方を尊重するための同性婚の法制化,app/idobata-policy-app,2025-07-07,OPEN,その他政策,README,婚姻・家族制度は既存分野に属さない,婚姻家族制度,https://github.com/team-mirai/policy/pull/4290,こゆきさんからのご提案です。  チームみらいが掲げる「分断を煽らない」という理念に基づき、マイノリティの方々も明るい未来を描ける社会を実現するため、同性婚の法制化を提案します。  日本のLGBTQ当事者は人口の約１割と言われ、社会の大切な一員です。しかし現状では法的に結婚できず、多くの権利が保障されていません。誰もが望む相手と家族になり、子育てができる環境は、多様性の尊重だけでなく、人口減少問題に...
4289,さめまんさんによる年金制度改革とキャリアサポートのご提案,app/idobata-policy-app,2025-07-07,OPEN,福祉,README,社会保障・高齢者・障害者支援,社会保障充実,https://github.com/team-mirai/policy/pull/4289,## 【さめまんさんからのご提案】年金制度改革とキャリアサポートの導入  この変更は、ユーザーのさめまんさんとの対話を通じて生まれた、日本の年金制度とキャリアサポートに関する重要な改善提案です。現在のマニフェストには含まれていない新たな視点であり、特に、家庭内でケア労働を担う方々の経済的な安定と、多様な生き方の選択を尊重する社会の実現を目指すものです。  ### 背景と課題意識  現在の日本の社会...
4284,デジタル時代に対応した公平な税制の導入提案,app/idobata-policy-app,2025-07-07,OPEN,経済財政,README,税制・財政政策に関する提案,税財政改革,https://github.com/team-mirai/policy/pull/4284,木村真隆さんの提案に基づき、マニフェストに財源に関する新たな提案として「デジタル時代の公平な税制」という項目を新設しました。この変更は、現行の硬直的な所得税制が持つ課題、特に「年収の壁」に代表されるような、所得の増加に伴って税負担が急激に増えることによる労働意欲への影響や、経済実態と税制が乖离するリスクへの問題意識から出発しています。  提案の核心は二つの柱からなります。第一に、「デジタル技術を活...
